fecha_ingreso,Casos_acumulados
2021-01-01,1
2021-01-02,6
2021-01-03,10
2021-01-04,25
2021-01-05,27
2021-01-08,34
2021-01-09,41
2021-01-10,43
2021-01-11,339
2021-01-13,341
2021-01-14,342
2021-01-16,343
2021-01-17,344
2021-01-21,347
2021-01-22,348
2021-01-23,349
2021-01-25,353
2021-01-26,362
2021-01-27,390
2021-01-28,406
2021-01-29,408
2021-01-30,409
2021-01-31,416
2021-02-03,417
2021-02-04,420
2021-02-05,426
2021-02-06,432
2021-02-08,435
2021-02-10,437
2021-02-11,442
2021-02-12,443
2021-02-14,444
2021-02-17,449
2021-02-18,450
2021-02-19,452
2021-02-21,458
2021-02-22,459
2021-02-24,460
2021-02-25,461
2021-02-28,469
2021-03-02,472
2021-03-03,473
2021-03-04,477
2021-03-05,522
2021-03-06,592
2021-03-08,597
2021-03-10,600
2021-03-11,605
2021-03-12,606
2021-03-14,616
2021-03-15,620
2021-03-16,622
2021-03-17,690
2021-03-18,771
2021-03-19,887
2021-03-21,893
2021-03-22,895
2021-03-23,998
2021-03-24,999
2021-03-25,1017
2021-03-26,1018
2021-03-27,1019
2021-03-28,1021
2021-03-30,1069
2021-04-01,1070
2021-04-05,1134
2021-04-06,1138
2021-04-08,1143
2021-04-11,1150
2021-04-14,1151
2021-04-15,1159
2021-04-19,1162
2021-04-20,1163
2021-04-21,1170
2021-04-22,1224
2021-04-23,1225
2021-04-25,1230
2021-04-29,1231
2021-04-30,1238
2021-05-01,1239
2021-05-03,1241
2021-05-04,1245
2021-05-05,1247
2021-05-06,1256
2021-05-08,1258
2021-05-10,1260
2021-05-11,1262
2021-05-12,1265
2021-05-13,1276
2021-05-14,1279
2021-05-18,1280
2021-05-19,1288
2021-05-20,1344
2021-05-23,1358
2021-05-24,1360
2021-05-26,1364
2021-05-27,1368
2021-05-29,1371
2021-06-01,1373
2021-06-03,1377
2021-06-04,1380
2021-06-05,1384
2021-06-06,1387
2021-06-09,1392
2021-06-10,1393
2021-06-11,1394
2021-06-16,1396
2021-06-17,1399
2021-06-19,1401
2021-06-20,1403
2021-06-21,1406
2021-06-22,1408
2021-06-23,1418
2021-06-24,1420
2021-06-25,1423
2021-06-26,1425
2021-07-01,1426
2021-07-02,1431
2021-07-03,1435
2021-07-04,1439
2021-07-07,1444
2021-07-09,1445
2021-07-16,1446
2021-07-17,1449
2021-07-18,1450
2021-07-19,1451
2021-07-20,1452
2021-07-23,1454
2021-07-25,1456
2021-07-26,1458
2021-07-30,1460
2021-07-31,1462
2021-08-01,1463
2021-08-02,1468
2021-08-04,1471
2021-08-05,1472
2021-08-06,1473
2021-08-07,1474
2021-08-08,1475
2021-08-14,1477
2021-08-17,1504
2021-08-18,1507
2021-08-20,1523
2021-08-22,1525
2021-08-23,1526
2021-08-25,1528
2021-08-27,1537
2021-08-29,1539
2021-08-30,1770
2021-09-01,1784
2021-09-02,1785
2021-09-05,1786
2021-09-08,1788
2021-09-10,1789
2021-09-19,1791
2021-09-20,1794
2021-09-21,1798
2021-09-23,1807
2021-09-24,1809
2021-09-27,1810
2021-09-28,1814
2021-09-29,1816
2021-09-30,1817
2021-10-01,1821
2021-10-02,1822
2021-10-04,1826
2021-10-05,1831
2021-10-08,1832
2021-10-09,1834
2021-10-15,1839
2021-10-16,1856
2021-10-17,1857
2021-10-18,1936
2021-10-19,1947
2021-10-20,1954
2021-10-23,1955
2021-10-24,1956
2021-10-25,2018
2021-10-26,2080
2021-10-29,2081
2021-10-30,2083
2021-11-04,2085
2021-11-06,2087
2021-11-07,2102
2021-11-12,2104
2021-11-13,2105
2021-11-15,2109
2021-11-19,2113
2021-11-21,2116
2021-11-22,2119
2021-11-23,2120
2021-11-24,2123
2021-11-25,2126
2021-11-26,2130
2021-11-27,2132
2021-11-29,2134
2021-11-30,2135
2021-12-01,2146
2021-12-02,2187
2021-12-03,2194
2021-12-04,2198
2021-12-05,2199
2021-12-06,2200
2021-12-08,2202
2021-12-09,2209
2021-12-10,2220
2021-12-11,2223
2021-12-12,2225
2021-12-13,2226
2021-12-15,2228
2021-12-18,2230
2021-12-20,2233
2021-12-21,2235
2021-12-22,2358
2021-12-23,2366
2021-12-24,2527
2021-12-25,2539
2021-12-26,2547
2021-12-27,2667
2021-12-28,2767
2021-12-29,2876
2021-12-30,2922
2021-12-31,2933
2022-01-01,2951
2022-01-03,2968
2022-01-04,2985
2022-01-05,2986
2022-01-06,2993
2022-01-09,2994
2022-01-11,2995
2022-01-13,2996
2022-01-19,3000
