fecha_ingreso,Pruebas
2021-01-01,1
2021-01-02,5
2021-01-03,4
2021-01-04,15
2021-01-05,1
2021-01-08,7
2021-01-09,7
2021-01-10,2
2021-01-11,296
2021-01-13,2
2021-01-14,1
2021-01-16,1
2021-01-17,1
2021-01-21,3
2021-01-22,1
2021-01-23,1
2021-01-25,4
2021-01-26,9
2021-01-27,28
2021-01-28,16
2021-01-29,2
2021-01-30,1
2021-01-31,7
2021-02-03,1
2021-02-04,3
2021-02-05,4
2021-02-06,6
2021-02-08,3
2021-02-10,2
2021-02-11,5
2021-02-17,5
2021-02-18,1
2021-02-19,2
2021-02-21,6
2021-02-24,1
2021-02-25,1
2021-02-28,8
2021-03-02,3
2021-03-03,1
2021-03-04,4
2021-03-05,44
2021-03-06,70
2021-03-08,5
2021-03-10,3
2021-03-11,5
2021-03-14,9
2021-03-15,4
2021-03-16,2
2021-03-17,68
2021-03-18,81
2021-03-19,116
2021-03-21,6
2021-03-22,2
2021-03-23,103
2021-03-24,1
2021-03-25,18
2021-03-26,1
2021-03-27,1
2021-03-28,2
2021-03-30,48
2021-04-01,1
2021-04-05,64
2021-04-06,4
2021-04-08,5
2021-04-11,7
2021-04-14,1
2021-04-15,8
2021-04-19,3
2021-04-20,1
2021-04-21,7
2021-04-22,54
2021-04-23,1
2021-04-25,5
2021-04-29,1
2021-04-30,6
2021-05-01,1
2021-05-03,2
2021-05-04,4
2021-05-05,2
2021-05-06,9
2021-05-08,2
2021-05-10,2
2021-05-11,2
2021-05-12,3
2021-05-13,11
2021-05-14,3
2021-05-18,1
2021-05-19,8
2021-05-20,56
2021-05-23,14
2021-05-24,2
2021-05-26,4
2021-05-27,4
2021-05-29,3
2021-06-01,2
2021-06-03,4
2021-06-04,3
2021-06-05,4
2021-06-06,3
2021-06-09,5
2021-06-10,1
2021-06-11,1
2021-06-16,2
2021-06-17,3
2021-06-19,2
2021-06-20,2
2021-06-21,3
2021-06-22,2
2021-06-23,10
2021-06-24,2
2021-06-25,3
2021-06-26,2
2021-07-01,1
2021-07-02,5
2021-07-03,4
2021-07-04,4
2021-07-07,5
2021-07-09,1
2021-07-16,1
2021-07-17,3
2021-07-18,1
2021-07-19,1
2021-07-20,1
2021-07-23,2
2021-07-25,2
2021-07-26,2
2021-07-30,2
2021-07-31,2
2021-08-01,1
2021-08-02,5
2021-08-04,3
2021-08-05,1
2021-08-06,1
2021-08-07,1
2021-08-08,1
2021-08-14,1
2021-08-17,27
2021-08-18,3
2021-08-20,16
2021-08-22,2
2021-08-23,1
2021-08-25,2
2021-08-27,7
2021-08-29,2
2021-08-30,231
2021-09-01,14
2021-09-02,1
2021-09-05,1
2021-09-08,2
2021-09-10,1
2021-09-19,1
2021-09-20,3
2021-09-21,4
2021-09-23,9
2021-09-27,1
2021-09-28,4
2021-09-29,2
2021-09-30,1
2021-10-01,4
2021-10-02,1
2021-10-04,4
2021-10-05,5
2021-10-08,1
2021-10-09,2
2021-10-15,5
2021-10-16,17
2021-10-17,1
2021-10-18,79
2021-10-19,11
2021-10-20,6
2021-10-23,1
2021-10-24,1
2021-10-25,62
2021-10-26,62
2021-10-29,1
2021-10-30,2
2021-11-04,2
2021-11-06,2
2021-11-07,15
2021-11-12,2
2021-11-13,1
2021-11-15,4
2021-11-19,4
2021-11-21,3
2021-11-22,3
2021-11-23,1
2021-11-24,3
2021-11-25,3
2021-11-26,4
2021-11-27,2
2021-11-29,2
2021-11-30,1
2021-12-01,11
2021-12-02,41
2021-12-03,7
2021-12-04,4
2021-12-05,1
2021-12-06,1
2021-12-08,2
2021-12-09,7
2021-12-10,11
2021-12-11,3
2021-12-12,2
2021-12-13,1
2021-12-15,2
2021-12-18,2
2021-12-20,3
2021-12-21,2
2021-12-22,122
2021-12-23,8
2021-12-24,161
2021-12-25,12
2021-12-26,8
2021-12-27,120
2021-12-28,100
2021-12-29,109
2021-12-30,46
2021-12-31,11
2022-01-01,18
2022-01-03,17
2022-01-04,16
2022-01-06,7
2022-01-09,1
2022-01-11,1
2022-01-13,1
2022-01-19,4
